x,Curve1
0.0407,-0.000917
0.9872,0.00211
1.797,0.014817
2.2818,0.030856
2.7667,0.046226
3.1433,0.062262
3.5739,0.078299
4.0046,0.094336
4.4895,0.109706
5.191,0.123747
6.3805,0.129785
7.41,0.119125
8.2234,0.105789
8.9286,0.091782
9.688,0.077777
10.3933,0.06377
11.2067,0.050434
12.1282,0.037768
13.1036,0.027107
14.2411,0.017785
15.4864,0.011137
16.7315,0.006493
18.0304,0.003852
19.3292,0.00188
20.8444,0.000581
